,GrossRevenue,Taxable,BNOTax,NAICS,IndustryName,TaxRate
0,611067441,417844957,1956067,"['111', '112']",Crop Animal Production,0.0032010656578248292
1,302065536,279611622,1078575,['113'],Forestry Logging,0.0035706655392821773
2,62191735,25657128,145221,['114'],Fishing Hunting,0.002335053042015953
3,196723743,109071768,1091914,['115'],Ag Forestry Support Activities,0.0055504942278370535
4,76862141,74225097,430486,['2123'],Sand Gravel Quarrying,0.005600754733074635
5,484011708,473517525,2344009,"['211', '2121', '2122', '213']",Other Extraction Support Act,0.004842876652066441
6,22624610,14038331,187472,['221111'],Hydroelectric Power Generation,0.008286198082530484
7,20726138,12139128,70822,"['221114', '221117']",Alternative Power Generation,0.0034170379450334646
8,17568337,12011340,76700,"['221112', '221113', '221118']",Other Electric Power Generation,0.004365808784291877
9,257107045,155538744,2494288,"['221121', '221122']",Electric Power Generation Trans,0.009701359991905316
10,1433440883,1091395696,5350937,['2212'],Natural Gas Distribution,0.003732931761232598
11,660141658,573350400,9499941,['2213'],Water Sewer,0.014390761262940931
12,4750525375,4372592596,21665275,['2361'],Residential Building Remodeling,0.004560606099278019
13,4196980858,3600807756,17414133,['2362'],Nonresidential Building,0.004149204771045444
14,2143873088,1781734358,9498284,['237'],Heavy Construction Highways,0.0044304320312453125
15,9651105171,8537136425,42438096,['238'],Special Trade Contractors,0.004397226560904089
16,2042323527,1828313475,9132216,['23821'],Electrical,0.004471483523188146
17,2084226919,1889765177,9305107,['23822'],Plumbing Heating,0.0044645364260358636
18,303314807,288257831,1407827,['23832'],Painting,0.004641471393778676
19,493498556,458822132,2214827,"['23814', '23831']",Masonry drywall,0.004488011105750834
20,464323265,419877883,2006840,['23816'],Roofing,0.004322075052603707
21,4263418097,3652099927,18371279,['238'],Other Contractors Not Listed Above,0.004309049354771738
22,5900233111,2284748694,8638865,['311'],Food Products (Manufacturing),0.0014641565574577517
23,245615556,108268312,488149,['3112'],Milling Of Grains,0.001987451478846885
24,1708677724,161897611,780862,['3114'],Fruits Vegetables,0.00045699782295517303
25,757259295,107680711,525426,['3115'],Dairy Products,0.0006938521632804784
26,658841623,657089609,985806,['3116'],Meat Products,0.0014962715857434526
27,744983119,128053395,622264,['3117'],Seafood Products,0.0008352726177678665
28,637816034,339025169,1654945,['3118'],Bakery Products,0.0025947058583980346
29,1147039760,782733887,3581413,"['3111', '3113', '3119']",Other Food Items,0.003122309378360171
30,612598988,391919539,1904603,['312'],Beverages,0.0031090534547210187
31,187529442,105583965,519364,"['313', '314']",Textiles,0.0027695064543518453
32,50914721,31533370,155939,['315'],Apparel (Manufacturing),0.0030627487873300927
33,40546536,19837886,98089,['316'],Leather Allied Products,0.00241917090032056
34,2421358103,1493671773,5973463,['321'],Lumber Wood Products,0.0024669886674750976
35,914998896,565798839,2010085,['3211'],Sawmills,0.0021968168582358594
36,326376968,188560837,748046,['3212'],Plywood Trusses,0.002291969327933704
37,1179982239,739312097,3215332,['3219'],Millwork Windows Wood Products,0.00272489864146167
38,1686283016,1065616880,4246789,['322'],Paper Products,0.0025184319356271094
39,854418264,507757989,1832391,['3221'],Pulp Paper Mills,0.002144606543663491
40,831864752,557858891,2414398,['3222'],Other Paper Products,0.0029023924793005296
41,204489948,164846132,819972,['323'],Commercial Printing,0.004009840131603926
42,3822894158,3507034091,17109028,['324'],Petroleum Coal Products,0.00447541242129257
43,3518462299,3333699506,16253914,['32411'],Petroleum Refining,0.004619607265543135
44,304431859,173334585,855114,"['32412', '32419']",Asphalt petroleum coal Products,0.0028088847297680496
45,1499269454,1019145678,4999735,['325'],Chemicals,0.003334780807186378
46,508044181,355631075,1740157,"['3251', '3253']",Chemicals Pesticides Fertilizers,0.0034252080135526637
47,225375857,142017653,689130,['3252'],Resins Synthetic Fibers Filaments,0.003057692199923615
48,583331708,389943735,1932315,['3254'],Pharmaceuticals,0.0033125492297085965
49,22393545,14598773,70880,['3255'],Paint Coating Adhesives,0.003165197828213443
50,56820475,35685552,172857,['3256'],Soap Cleaning Compound Toiletries,0.0030421604184055133
51,103303688,81268890,394396,['3259'],Other Chemical Products,0.0038178307825757394
52,765722637,498022937,2412133,['326'],Plastics Rubber Products,0.0031501393369411383
53,704730483,522725758,2628382,['327'],Nonmetallic Minerals,0.0037296272311240436
54,717794646,449151333,2198947,['331'],Primary Metals,0.0030634764584187217
55,362348058,225007402,1088678,"['3311', '3312']",Iron Steel Mills,0.0030045089961541894
56,113587628,74023907,358870,['3313'],Aluminum Smelting,0.0031594109879642877
57,46690908,44352705,237600,['3314'],Other Nonferrous Metals,0.005088785165625821
58,195168052,105767319,513799,['3315'],Foundries,0.002632597880312911
59,2048501218,1372442507,6667496,['332'],Fabricated Metal Products,0.0032548167125375856
60,1678863702,913203429,4523353,['333'],Machinery,0.002694294357910896
61,166185408,93722065,452967,['3331'],Farm Construction Implements,0.002725672521139762
62,404047008,175286091,886979,['3332'],Industrial Machinery,0.002195237144287924
63,1108631286,644195273,3183407,"['3333', '3336', '3339']",Commercial Other Equipment,0.0028714749801856125
64,3778880933,2164451794,13749102,['334'],Computers Electronics,0.003638405719516752
65,104772767,89621447,569638,['3341'],Computer Hardware,0.005436889912433066
66,608849339,433226337,4800285,['3342'],Telephone Communications Equipment,0.007884191855877173
67,37262213,15835538,76392,['3343'],Audio Video Equipment,0.0020501197822040255
68,806034534,341356292,1426891,['3344'],Semiconductors,0.001770260379439276
69,2203465165,1268130299,6710418,['3345'],Instruments,0.0030453932771839394
70,18496915,16281881,165478,['3346'],Software Other Magnetic Optical Media,0.008946248604159126
71,1231519193,400772231,1971271,['335'],Electrical Equipment Appliances,0.001600682320831682
72,37016799,12678470,61385,['3351'],Lighting Equipment,0.0016583011405173094
73,9945176,6326169,30507,['3352'],Household Appliances,0.003067517357158888
74,1184557218,381767592,1879379,"['3353', '3359']",Other Electric Equipment,0.0015865666693358497
75,16364731928,8785643337,42827092,['336'],Transportation Equipment,0.0026170359641958445
76,662614605,431455097,2091625,"['3361', '3362', '3363']",Motor Vehicles Parts (Manufacturing),0.0031566237511471695
77,15263108541,7995386987,38915226,['3364'],Aircraft Aerospace Parts,0.0025496264994424507
78,383681773,311045865,1587514,['3366'],Ships Boats,0.004137579920951835
79,55327009,47755388,232727,"['3365', '3369']",Railroad Other Transportation Equip,0.004206390408706171
80,410108661,301159638,1455480,['337'],Furniture Related Products,0.0035490106364761704
81,1609029690,984333607,4957769,['339'],Other Manufacturing,0.0030812166057669205
82,235691610,166054878,827924,"['339112', '339115']",Other Medical Equip Supplies,0.00351274277433974
83,50869424,44551079,262299,['339116'],Dental Laboratories,0.00515631944250047
84,127224654,40210608,198584,['33992'],Sporting And Athletic Goods,0.0015608924352036359
85,1195244002,733517042,3668962,['3399'],All Other Miscellaneous Mfg Not Listed Above,0.0030696343122079937
86,24760357144,18731343105,95950203,['423'],Durable Goods,0.0038751542411919904
87,4393686821,3800479436,19050392,['4231'],Motor Vehicles Parts (Wholesale Trade),0.00433585568933749
88,428638267,349733325,1710494,['4232'],Furniture Home Furnishings (Wholesale Trade),0.003990530318190186
89,2600633724,1860915940,8798769,['4233'],Lumber Construction Materials,0.003383317273324723
90,4681548869,3817017218,20990500,['4234'],Professional Commercial Equipment,0.004483665681457185
91,1004459922,725304330,3514704,['4235'],Metal Mineral except Petroleum,0.003499098294536036
92,2733354244,2433945173,12741075,['4236'],Electrical Equipment,0.004661333242102812
93,1635115152,1287615117,6340498,['4237'],Hardware Plumbing Heating Equipment,0.003877707323698019
94,3813825556,2996445407,14845953,['4238'],Machinery Equipment,0.003892667029996691
95,397890320,300297907,1475344,['423910'],Sporting Recreational Goods Supplies,0.0037079162921078352
96,1207443260,80983037,482382,['423920'],Toy Hobby Goods Supplies,0.00039950697144973917
97,1863761009,1078606215,6000092,"['423930', '423940', '423990']",Other Misc Durable Goods,0.0032193462418335203
98,26728971126,20538449731,85380270,['424'],Nondurable Goods,0.003194296914666808
99,592926611,525785336,2505188,['4241'],Paper Paper Products,0.00422512323367453
100,4201416705,4106417261,9671761,['4242'],Drugs Sundries,0.0023020237408229185
101,824333705,310293453,1552289,['4243'],Apparel (Wholesale Trade),0.001883083259345801
102,10812612673,7154186048,30177856,['4244'],Food Products (Wholesale Trade),0.002790986499993349
103,457155390,272490991,1358556,['4245'],Farm Products,0.002971759777348354
104,898570167,652391678,3169981,['4246'],Chemicals Plastics,0.0035278057478620923
105,4463987425,4087923666,20461963,['4247'],Petroleum Products,0.0045837859859114635
106,230858109,224301551,1087144,['424810'],Beer Ale,0.00470914365845386
107,1105626701,915745799,4503819,['424820'],Wine Distilled Alcoholic Beverages,0.00407354398724855
108,1109619254,620304657,3061128,['42491'],Farm Supplies,0.002758719253442226
109,370355468,306084003,1468590,['42494'],Tobacco Tobacco Products,0.0039653525515114035
110,1661508918,1362525288,6361995,['4249'],Other Misc Nondurable Goods Not Listed Above,0.0038290465558608574
111,718643494,527276124,3154672,['425'],Electronic Markets Agents Brokers,0.004389759354030971
112,9017612994,8038937269,41922831,['441'],Motor Vehicles Parts (Retail Trade),0.004648994254676261
113,7047357662,6311952367,33266655,['4411'],New Used Auto Dealers,0.004720443689040626
114,715179291,600929465,3115116,['4412'],Rv Boat Motorcycle Dealers,0.004355713370341424
115,1255076041,1126055437,5541060,['4413'],Automotive Parts Tires,0.004414919749073595
116,3155402898,2929195509,14309022,['444'],Bldg Materials Garden Supplies,0.004534768605641307
117,2695166066,2518218252,12270811,['4441'],Building Materials,0.00455289607375162
118,460236832,410977257,2038211,['4442'],Lawn Garden Supplies,0.004428613397025991
119,6662283454,6248797795,31046221,['445'],Food Beverages off premises,0.0046599970136905556
