Other Electric Power Generation,221112 221113 221118,17568337,0.4365808784291877
Electronic Markets Agents Brokers,425,718643494,0.4389759354030971
Special Trade Contractors,238,9651105171,0.43972265609040895
Apparel & Accessories,458,1448489857,0.44037678062940006
Automotive Parts & Tires,4413,1255076041,0.4414919749073595
Computer System Design Services,5415,11123860013,0.44189179783415167
Lawn & Garden Supplies,4442,460236832,0.44286133970259906
Heavy Construction & Highways,237,2143873088,0.44304320312453127
Furniture & Home Furnishings,4491,1011841307,0.44327198039563726
Plumbing & Heating,23822,2084226919,0.44645364260358633
Electrical,23821,2042323527,0.44714835231881456
Petroleum & Coal Products,324,3822894158,0.447541242129257
Professional & Commercial Equipment,4234,4681548869,0.4483665681457185
Masonry/drywall,23814 23831,493498556,0.44880111057508343
Sporting Goods Toy/hobby/book/music/misc,459,9359401585,0.4497660840567512
Clothing Retailers,4581,1114553809,0.4499983723980077
Bldg. Materials Garden Supplies,444,3155402898,0.45347686056413067
Sewing Supplies,45913,60519245,0.45522544109729063
Building Materials,4441,2695166066,0.455289607375162
Residential Building & Remodeling,2361,4750525375,0.4560606099278019
Petroleum Products,4247,4463987425,0.4583785985911464
Drug Stores & Personal Care Retailers,456,4283087545,0.45882043720869126
Petroleum Refining,32411,3518462299,0.46196072655431347
Insurance Agents & Brokers,524,3827084775,0.4630904210895093
Shoe Retailers,4582,98561315,0.46382903880695986
Painting,23832,303314807,0.46414713937786756
Motor Vehicles & Parts,441,9017612994,0.4648994254676261
Musical Instruments,45914,70703633,0.46561822360669924
Food & Beverages (off-premises),445,6662283454,0.46599970136905555
Electrical Equipment,4236,2733354244,0.4661333242102812
Beer & Ale,424810,230858109,0.470914365845386
Miscellaneous Retailers,4599,7788632588,0.47106399724808795
New & Used Auto Dealers,4411,7047357662,0.4720443689040626
Grocery & Convenience Retailers,4451,5890941929,0.474240865666493
Auto Repair & Services,8111,1131935405,0.4775709794146778
Department Stores,4551,192895263,0.4782253258339475
Other Extraction & Support Act.,211 2121 2122 213,484011708,0.4842876652066441
Rental Of Tangible Personal Property,532,1823750700,0.49666119387918534
Software,5132,3304568913,0.504456872859289
Water Transportation,483,37283285,0.5080078110069968
Other Nonferrous Metals,3314,46690908,0.5088785165625821
Dental Laboratories,339116,50869424,0.515631944250047
Restaurants Food Services,7223 7225,5375114472,0.5229782760243324
Museums Historical Sites Etc.,712,25436908,0.5263611442082505
Drinking Places,7224,265060591,0.5366799321744514
Computer Hardware,3341,104772767,0.5436889912433066
Ag & Forestry Support Activities,115,196723743,0.5550494227837054
Sand & Gravel Quarrying,2123,76862141,0.5600754733074635
Accommodations,721,987909668,0.5689214492027828
Support Activities For Transportation,488,1352782625,0.5963417810751376
Furniture Home Furnishings Electronics And Appliance,449,5024121547,0.6063729691848556
Administrative & Support Services,561,14408545736,0.6354878950151392
Electronics & Appliances,4492,4012280240,0.647504771501205
Electronic & Appliance Retailers,449210,4012280240,0.647504771501205
Truck Transportation,484,370855996,0.6695631260603914
Specialized Design Services,5414,393538653,0.670449263340849
Data Proc. Svcs. Hosting,518,1764005392,0.6720271408331386
Laundry & Dry Cleaning,8123,152560517,0.7034860795601525
Books & Periodicals,51312 51313,142874349,0.7156337069294363
Publishing Industries,513,3943030751,0.7355954298008973
Hospitals,622,8922720098,0.740971702281902
Social Services & Day Care,624,832940051,0.7544672623744443
Amusement Gambling Recreation,713,859674101,0.7547357763194962
Telephone & Communications Equipment,3342,608849339,0.7884191855877174
Professional Scientific & Technical Services,54,28919011517,0.8035488414373938
Building Services & Janitorial,5617,1350891364,0.8093023829560879
Hydroelectric Power Generation,221111,22624610,0.8286198082530484
Newspapers,51311,11936550,0.8704860282074804
Other,5611 5612 5614 5619,5870112043,0.8746104098851525
Wireless Telecommunications Carriers,517112 517122,1555419083,0.8860774662361527
Postal Service Couriers And Messengers,491 492,266517575,0.8866357124853773
Medical & Diagnostic Laboratories,6215,557282717,0.8912108429876177
Software Other Magnetic & Optical Media,3346,18496915,0.8946248604159126
Schools (public Private Technical),61,821558826,0.899115287454778
Consulting Services,5416,6514740836,0.899790497821117
Nursing & Retirement Homes,623,999928723,0.9004449810169118
Arts Entertainment & Recreation,71,1380936351,0.9375298861982091
Other Personal Services,8129,432613893,0.9379631735497684
Electric Power Generation & Trans.,221121 221122,257107045,0.9701359991905316
Air Transportation,481,110995902,0.9764567704490569
Religious Civic & Other Organizations,813 814,362300689,0.9810872868640886
Wired Telecommunications Carriers,517111,660229334,0.9929174095133435
Health Services,62,20288194998,1.0394691150237338
Motion Picture Production,512,337832592,1.0647184686076707
Transit & Ground Passenger Transport,485,142070206,1.0661503510454542
Advertising & Public Relations,5418,564534611,1.073194252743522
Telecommunications,517,3110200001,1.075152272820027
Outpatient Care Centers,6214,1242872766,1.0857730870900746
Personal Services,812,1102766146,1.1097969451086143
Waste Treatment/collection,562,1398005965,1.109842617874667
Engineering Services,54133,1916947068,1.1344518773118257
Other Related Services 54134-54138,54132,287392508,1.1577476473395054
Investigation & Security Services,5616,581725753,1.15899923034695
Other Professional Services,5419,1916528176,1.1771547260571034
Management Services,55,338190083,1.1873639121464128
Performing Arts Spectator Sports,711,495825342,1.2755566253408643
Railroads,482,30987852,1.2788043521054637
Broadcasting And Content Providers,516,1025804924,1.2858491601469444
Physicians,6211,3348608677,1.3038093193712403
Employment Services,5613,1396041010,1.3080792662387475
Death Care Services,8122,88783183,1.3213448317121048
Ambulatory Health Care Services,621,9532606126,1.3583548956966525
Personal Care (barber Beauty Etc.),8121,428808553,1.3839117616667502
Lessors Of Nonfinancial Intangibles,533,222123960,1.3930208159443944
Securities & Other Financial Investment,523 525,4368956660,1.4013239490455371
Architectural Services,54131,535704604,1.4021992612928897
Other Health Practitioners,6213,1294065241,1.4027543917316299
Public Administration,92,161366851,1.4040361982399967
Real Estate Agents & Brokers,531,2027120477,1.427380430926405
Water & Sewer,2213,660141658,1.4390761262940932
Satellite And Other Telecommunications,5174 5178,894551584,1.4646037449753149
Home Health Care,6216,1189243090,1.4817883028439542
Accounting Services,5412,1504641525,1.5323300345575668
Legal Services,5411,1946588015,1.5740603951062546
Other Ambulatory Health Care,6219,565380518,1.5964683452357655
Dentists,6212,1335153117,1.690073199297336
Web Search Libraries Archives & Other Information Services,519,1288763040,1.8509000692633146
Banks & Credit Unions,521 522,7945406053,1.9687664035865984
Other Publishers,51314 51319,483650939,2.31742876860206
